timestamp,gps_lat,gps_lon,qmi_tag,rat_mode,lte_plmn,lte_tac,lte_ecgi,lte_earfcn,lte_pci,lte_rsrp_dbm,lte_rsrq_db,lte_rssi_dbm,nr_plmn,nr_tac,nr_nci,nr_arfcn,nr_pci,nr_rsrp_dbm,nr_rsrq_db,nr_snr_db,lte_interfreq_neighbors_json
2026-04-29T07:11:05.551487Z,,,QMI,5gsa,,,,,,,,,24214,62002,16673833096,635328,117,-102.0,-14.0,5.5,[]
2026-04-29T07:11:13.112235Z,,,QMI,5gsa,,,,,,,,,24214,62002,16673833096,635328,117,-108.0,-16.0,-4.0,[]
2026-04-29T07:11:25.389815Z,,,QMI,5gsa,,,,,,,,,24214,62002,17315103056,635328,113,-101.0,-12.0,6.0,[]
2026-04-29T07:14:45.976665Z,,,QMI,5gsa,,,,,,,,,24214,62002,17315103056,635328,113,-106.0,-15.0,4.5,[]
2026-04-29T07:14:53.826396Z,,,QMI,5gsa,,,,,,,,,24214,62002,17315103056,635328,113,-100.0,-12.0,6.0,[]
2026-04-29T07:14:59.417004Z,,,QMI,5gsa,,,,,,,,,24214,62002,17315103056,635328,113,-103.0,-13.0,3.5,[]
2026-04-29T07:15:05.472394Z,,,QMI,5gsa,,,,,,,,,24214,62002,17315103056,635328,113,-99.0,-12.0,7.5,[]
2026-04-29T07:15:16.650567Z,,,QMI,5gsa,,,,,,,,,24214,62002,20480491641,431790,897,-82.0,-11.0,11.0,[]
2026-04-29T07:15:23.636416Z,,,QMI,5gsa,,,,,,,,,24214,62002,20480491641,431790,897,-84.0,-12.0,11.5,[]
2026-04-29T07:15:29.650584Z,,,QMI,5gsa,,,,,,,,,24214,62002,20480491641,431790,897,-85.0,-12.0,11.0,[]
2026-04-29T07:15:35.924573Z,,,QMI,5gsa,,,,,,,,,24214,62002,20480491641,431790,897,-82.0,-12.0,18.0,[]
2026-04-29T07:15:41.384576Z,,,QMI,5gsa,,,,,,,,,24214,62002,20480491641,431790,897,-85.0,-12.0,11.5,[]
2026-04-29T07:15:46.826761Z,,,QMI,5gsa,,,,,,,,,24214,62002,20480491641,431790,897,-82.0,-11.0,13.0,[]
2026-04-29T07:15:52.420593Z,,,QMI,5gsa,,,,,,,,,24214,62002,20480491641,431790,897,-78.0,-11.0,11.5,[]
2026-04-29T07:16:22.962342Z,,,QMI,5gsa,,,,,,,,,24214,62002,20492451961,431790,51,-78.0,-17.0,-3.5,[]
2026-04-29T07:16:53.493879Z,,,QMI,5gsa,,,,,,,,,24214,62002,17293640015,629280,137,-82.0,-11.0,15.0,[]
2026-04-29T07:17:24.027149Z,,,QMI,5gsa,,,,,,,,,24214,62002,20515553615,629280,164,-84.0,-11.0,13.5,[]
2026-04-29T07:17:54.570093Z,,,QMI,5gsa,,,,,,,,,24214,62002,20515553615,629280,164,-80.0,-11.0,19.5,[]
2026-04-29T07:18:25.090647Z,,,QMI,5gsa,,,,,,,,,24214,62002,20515553615,629280,164,-76.0,-11.0,23.5,[]
2026-04-29T07:18:55.653516Z,,,QMI,5gsa,,,,,,,,,24214,62002,16460677255,629280,55,-105.0,-12.0,5.5,[]
2026-04-29T07:19:26.207167Z,,,QMI,5gsa,,,,,,,,,24214,62002,20482949355,629280,221,-111.0,-18.0,-4.0,[]
2026-04-29T07:19:56.825758Z,,,QMI,5gsa,,,,,,,,,24214,62002,16460677256,635328,55,-101.0,-13.0,2.0,[]
2026-04-29T07:20:18.023770Z,,,QMI,5gsa,,,,,,,,,24214,62002,16460677256,635328,55,-102.0,-13.0,8.5,[]
2026-04-29T07:20:25.380697Z,,,QMI,5gsa,,,,,,,,,24214,62002,16460677256,635328,55,-98.0,-12.0,6.0,[]
2026-04-29T07:20:30.999690Z,,,QMI,5gsa,,,,,,,,,24214,62002,16460677256,635328,55,-101.0,-12.0,7.5,[]
2026-04-29T07:20:38.063225Z,,,QMI,5gsa,,,,,,,,,24214,62002,16460677256,635328,55,-109.0,-17.0,4.0,[]
2026-04-29T07:20:45.020134Z,,,QMI,5gsa,,,,,,,,,24214,62002,20498350401,431790,890,-78.0,-11.0,12.5,[]
2026-04-29T07:20:52.006233Z,,,QMI,5gsa,,,,,,,,,24214,62002,20498350401,431790,890,-82.0,-12.0,11.0,[]
2026-04-29T07:20:58.103390Z,,,QMI,5gsa,,,,,,,,,24214,62002,20498350401,431790,890,-81.0,-14.0,-1.5,[]
2026-04-29T07:21:04.149154Z,,,QMI,5gsa,,,,,,,,,24214,62002,20498350401,431790,890,-91.0,-17.0,4.0,[]
2026-04-29T07:21:09.597557Z,,,QMI,5gsa,,,,,,,,,24214,62002,20484096221,431790,73,-79.0,-12.0,8.5,[]
2026-04-29T07:21:15.063635Z,,,QMI,5gsa,,,,,,,,,24214,62002,20484096221,431790,73,-83.0,-14.0,0.0,[]
2026-04-29T07:21:20.531783Z,,,QMI,5gsa,,,,,,,,,24214,62002,20484260161,431790,260,-84.0,-14.0,-0.5,[]
2026-04-29T07:21:29.963869Z,,,QMI,5gsa,,,,,,,,,24214,62002,20484260161,431790,260,-71.0,-11.0,12.5,[]
2026-04-29T07:21:35.555930Z,,,QMI,5gsa,,,,,,,,,24214,62002,20484260161,431790,260,-76.0,-11.0,10.5,[]
2026-04-29T07:21:41.110839Z,,,QMI,5gsa,,,,,,,,,24214,62002,20484260161,431790,260,-66.0,-12.0,23.5,[]
2026-04-29T07:21:46.652080Z,,,QMI,5gsa,,,,,,,,,24214,62002,20484260161,431790,260,-71.0,-13.0,3.0,[]
2026-04-29T07:22:28.023329Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958407916,635328,145,-102.0,-13.0,2.0,[]
2026-04-29T07:22:38.547998Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958407916,635328,145,-100.0,-15.0,-2.0,[]
2026-04-29T07:22:49.435422Z,,,QMI,5gsa,,,,,,,,,24214,62002,20484260076,635328,190,-96.0,-12.0,2.5,[]
2026-04-29T07:23:00.024259Z,,,QMI,5gsa,,,,,,,,,24214,62002,20484260076,635328,190,-97.0,-16.0,-3.0,[]
2026-04-29T07:23:10.608313Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958407916,635328,145,-97.0,-12.0,5.0,[]
2026-04-29T07:23:21.177006Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958407916,635328,145,-98.0,-12.0,5.5,[]
2026-04-29T07:23:31.721485Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958407916,635328,145,-98.0,-12.0,4.0,[]
2026-04-29T07:23:42.303697Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958407916,635328,145,-108.0,-17.0,-4.0,[]
2026-04-29T07:23:52.865509Z,,,QMI,5gsa,,,,,,,,,24214,62002,16439869776,635328,158,-92.0,-11.0,13.0,[]
2026-04-29T07:24:03.399042Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958080136,635328,953,-86.0,-11.0,-0.5,[]
2026-04-29T07:24:13.959195Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958080136,635328,953,-75.0,-11.0,29.0,[]
2026-04-29T07:24:24.549752Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958080136,635328,953,-112.0,-20.0,-9.5,[]
2026-04-29T07:24:35.154352Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958080136,635328,953,-108.0,-16.0,-4.5,[]
2026-04-29T07:24:45.833341Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958080121,431790,147,-93.0,-17.0,-2.5,[]
2026-04-29T07:24:56.588345Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958080121,431790,147,-90.0,-18.0,-8.0,[]
2026-04-29T07:25:07.338518Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958080121,431790,147,-86.0,-16.0,-4.0,[]
2026-04-29T07:25:18.088652Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958080121,431790,147,-87.0,-15.0,-1.5,[]
2026-04-29T07:25:28.778532Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958080121,431790,147,-84.0,-16.0,-2.5,[]
2026-04-29T07:25:39.448297Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958080121,431790,147,-92.0,-15.0,-2.0,[]
2026-04-29T07:25:50.137807Z,,,QMI,5gsa,,,,,,,,,24214,62002,20496547961,431790,280,-85.0,-13.0,10.0,[]
2026-04-29T07:26:01.309341Z,,,QMI,5gsa,,,,,,,,,24214,62002,22957424961,431790,278,-85.0,-13.0,7.0,[]
2026-04-29T07:26:23.378767Z,,,QMI,5gsa,,,,,,,,,24214,62002,16673997136,635328,88,-99.0,-18.0,-3.5,[]
2026-04-29T07:26:29.908784Z,,,QMI,5gsa,,,,,,,,,24214,62002,16673997136,635328,88,-101.0,-13.0,2.0,[]
2026-04-29T07:26:36.052785Z,,,QMI,5gsa,,,,,,,,,24214,62002,16673997036,635328,87,-101.0,-14.0,6.0,[]
2026-04-29T07:26:42.062048Z,,,QMI,5gsa,,,,,,,,,24214,62002,16673997036,635328,87,-95.0,-12.0,18.0,[]
2026-04-29T07:26:48.058033Z,,,QMI,5gsa,,,,,,,,,24214,62002,16673997036,635328,87,-103.0,-13.0,4.0,[]
2026-04-29T07:26:53.531113Z,,,QMI,5gsa,,,,,,,,,24214,62002,16673997036,635328,87,-103.0,-13.0,11.5,[]
2026-04-29T07:27:24.064515Z,,,QMI,5gsa,,,,,,,,,24214,62002,22957424976,635328,141,-80.0,-11.0,25.5,[]
2026-04-29T07:27:54.647088Z,,,QMI,5gsa,,,,,,,,,24214,62002,22957424876,635328,142,-92.0,-11.0,11.0,[]
2026-04-29T07:28:25.167421Z,,,QMI,5gsa,,,,,,,,,24214,62002,22957424876,635328,142,-101.0,-12.0,5.5,[]
2026-04-29T07:28:55.773375Z,,,QMI,5gsa,,,,,,,,,24214,62002,22957424876,635328,142,-110.0,-17.0,-4.5,[]
2026-04-29T07:29:26.427539Z,,,QMI,5gsa,,,,,,,,,24214,62002,22957424876,635328,142,-107.0,-15.0,-2.5,[]
2026-04-29T07:29:57.061194Z,,,QMI,5gsa,,,,,,,,,24214,62002,22957424861,431790,276,-98.0,-15.0,-3.0,[]
2026-04-29T07:30:27.687865Z,,,QMI,5gsa,,,,,,,,,24214,62002,20496547961,431790,280,-102.0,-21.0,-12.0,[]
2026-04-29T07:30:58.350666Z,,,QMI,5gsa,,,,,,,,,24214,62002,22958407801,431790,886,-97.0,-19.0,-15.0,[]
2026-04-29T07:31:28.981253Z,,,QMI,5gsa,,,,,,,,,24214,62002,22957424761,431790,277,-90.0,-15.0,0.0,[]
2026-04-29T07:32:15.535033Z,,,QMI,5gsa,,,,,,,,,24214,62003,16475914361,431790,220,-69.0,-11.0,22.5,[]
2026-04-29T07:32:27.616804Z,,,QMI,5gsa,,,,,,,,,24214,62003,16475914361,431790,220,-86.0,-11.0,8.5,[]
2026-04-29T07:32:44.911056Z,,,QMI,5gsa,,,,,,,,,24214,62003,16475914361,431790,220,-71.0,-11.0,21.0,[]
2026-04-29T07:32:55.848196Z,,,QMI,5gsa,,,,,,,,,24214,62003,16475914361,431790,220,-70.0,-11.0,21.0,[]
2026-04-29T07:33:11.803741Z,,,QMI,5gsa,,,,,,,,,24214,62003,16475914361,431790,220,-72.0,-11.0,14.0,[]
